1970,-13.4
1971,33.3
1972,40.4
1973,-10.7
1974,-18.5
1975,32.8
1976,3.6
1977,17.5
1978,33.1
1979,10.9
1980,25.4
1981,-2.5
1982,-0.3
1983,24.8
1984,3.5
1985,51.4
1986,65.8
1987,24.6
1988,27.8
1989,11.4
1990,-22.8
1991,12.4
1992,-11.9
1993,32.6
1994,7.6
1995,11.8
1996,7.2
1997,2.6
1998,19.1
1999,28.3
2000,-13.2
2001,-21.2
2002,-15.5
2003,40
2004,20.8
2005,15
2006,26.2
2007,12.9
2008,-43.2
2009,34.4
2010,9.4
2011,-11.8
2012,17.02
2013,21.57
2014,-3.88
2015,-2.6
2016,3.29
2017,24.81
2018,-13.64
2019,23.16
2020,8.09
2021,13.17
2022,-13.82
2023,18.6
2024,5.26
2025,32.55
