year,CAPE,DY,GS10,CPI
1871,,5.4852,5.3567,12.6544
1872,,5.9172,5.5617,12.9398
1873,,7.4661,5.4792,12.1786
1874,,7.2687,5.1033,11.5127
1875,,6.865,4.63,10.9417
1876,,8.3799,4.4617,10.7515
1877,,5.8462,4.3492,9.5146
1878,,5.2174,4.23,8.1825
1879,,4.065,4.0367,9.7048
1880,,4.4521,3.7267,9.5146
1881,15.9588,5.3245,3.6267,10.1806
1882,15.3821,5.4795,3.6292,9.9903
1883,14.8964,6.1798,3.6208,9.2291
1884,13.4323,7.1429,3.5283,8.2777
1885,16.3045,4.6154,3.3825,8.1825
1886,18.1941,3.9007,3.5075,7.8019
1887,15.4555,4.7438,3.6575,8.2777
1888,14.9467,4.4747,3.4683,8.2777
1889,16.6103,4.1353,3.4225,7.8019
1890,14.443,4.7826,3.6033,7.8971
1891,18.2063,4.0665,3.6017,7.5165
1892,18.013,4.3557,3.7375,7.6117
1893,15.6127,5.6689,3.7042,7.0408
1894,16.6725,4.8837,3.48,6.5651
1895,16.5484,4.3981,3.5883,6.7553
1896,16.5014,4.2654,3.4167,6.6602
1897,18.7488,3.7895,3.3542,6.6602
1898,21.4036,3.5398,3.1208,6.7553
1899,18.5126,3.4884,3.1458,7.8971
1900,20.7441,4.3668,3.1042,7.6117
1901,21.6802,4.0252,3.1733,7.9922
1902,19.6332,4.0994,3.29,8.5631
1903,16.0429,5.3272,3.3917,8.0874
1904,18.1597,3.7576,3.4733,8.4679
1905,19.578,3.4591,3.4342,8.4679
1906,17.66,4.065,3.65,8.9437
1907,11.3333,6.6971,3.8533,8.7534
1908,14.5825,4.4297,3.7692,9.0388
1909,14.7506,4.2718,3.8975,9.9903
1910,13.7415,5.1934,3.9742,9.2291
1911,13.9293,5.1592,4.0075,9.0388
1912,13.389,5.1173,4.4133,9.7048
1913,11.174,5.9701,4.1842,10.0
1914,10.1722,5.7143,4.2333,10.1
1915,12.8784,4.5359,4.0658,10.3
1916,11.4136,5.7143,4.215,11.6
1917,6.4126,10.1471,4.5417,13.7
1918,6.1346,7.2152,4.5058,16.5
1919,6.1607,5.9417,4.9308,18.9
1920,4.7842,7.489,5.08,19.4
1921,6.1142,6.2927,4.3658,17.3
1922,7.9647,5.8087,4.355,16.9
1923,7.8097,6.1988,4.085,17.3
1924,9.3106,5.4134,3.8767,17.3
1925,11.1474,4.8154,3.695,17.9
1926,13.0091,5.1149,3.3683,17.7
1927,18.6466,4.4101,3.3308,17.3
1928,25.3016,3.6717,3.5775,17.1
1929,22.0074,4.5327,3.3158,17.2
1930,16.055,6.3185,3.3358,16.1
1931,9.306,9.7156,3.6517,14.6
1932,8.2571,7.3314,3.3408,13.1
1933,12.2818,4.4132,3.1358,13.2
1934,11.6393,4.8596,2.8175,13.4
1935,16.1592,3.6043,2.6617,13.8
1936,21.1257,4.2204,2.6775,14.0
1937,13.0085,7.2595,2.57,14.4
1938,15.7565,4.0189,2.3767,14.0
1939,16.2804,5.0121,2.2225,14.0
1940,13.9084,6.3628,1.9717,14.1
1941,10.0866,8.105,2.4175,15.5
1942,9.6175,6.1975,2.4692,16.9
1943,10.7374,5.3136,2.4792,17.4
1944,11.6387,4.8855,2.3792,17.8
1945,15.0203,3.8084,2.205,18.2
1946,11.3728,4.6927,2.245,21.5
1947,10.6809,5.5888,2.4242,23.4
1948,10.1597,6.1224,2.3208,24.1
1949,10.5293,6.8924,2.3192,23.6
1950,11.3067,7.443,2.5492,25.0
1951,12.1471,6.0231,2.6708,26.5
1952,12.934,5.4147,2.8175,26.7
1953,11.7544,5.8397,2.59,26.9
1954,15.7891,4.4038,2.51,26.7
1955,18.9424,3.6147,2.96,26.8
1956,17.1975,3.7468,3.59,27.6
1957,13.6732,4.4384,3.21,28.4
1958,17.3584,3.2716,3.86,28.9
1959,18.6247,3.0985,4.69,29.4
1960,17.5621,3.4331,3.84,29.8
1961,22.0415,2.8157,4.06,30.0
1962,18.5858,3.4004,3.86,30.4
1963,21.0386,3.074,4.13,30.9
1964,22.753,2.9776,4.18,31.2
1965,23.6941,2.9652,4.62,31.8
1966,19.7365,3.5288,4.84,32.9
